state,district_type,education_level,infrastructure_score,toilet_access,drinking_water_source,electricity_access,employment_type,health_index,poverty_status,housing_type,cooking_fuel_type,phone_access,transport_mode,internet_access
Tamil Nadu,Urban,No School,66.7,Private,Public tap,0,Unemployed,0.24,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Odisha,Urban,Secondary,59.5,No,Unprotected,0,Informal,0.38,1,Pucca,LPG,Smartphone,Cycle,0
Chhattisgarh,Urban,Graduate,30.5,No,Unprotected,1,Self-employed,0.22,1,Pucca,Biogas,None,Walk,1
Rajasthan,Rural,No School,33.8,Private,Public tap,1,Informal,0.34,1,Kutcha,Firewood,Basic Phone,Private Vehicle,1
Tamil Nadu,Urban,No School,29.9,Private,Unprotected,1,Govt job,0.25,1,Kutcha,Firewood,Basic Phone,Cycle,0
Kerala,Rural,Secondary,62.0,Private,Well,1,Unemployed,0.61,1,Kutcha,LPG,Basic Phone,Public Transport,0
Jharkhand,Rural,Graduate,35.2,Shared,Well,0,Govt job,0.47,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
Uttar Pradesh,Rural,Primary,55.1,Private,Well,1,Self-employed,0.1,1,Pucca,LPG,Smartphone,Public Transport,0
Madhya Pradesh,Urban,Primary,55.3,No,Private tap,1,Informal,0.36,1,Kutcha,Firewood,None,Public Transport,1
Uttar Pradesh,Urban,Primary,97.4,Private,Well,0,Informal,0.02,1,Pucca,Firewood,Smartphone,Public Transport,0
Odisha,Rural,Secondary,56.3,Shared,Public tap,1,Unemployed,0.3,1,Kutcha,LPG,Basic Phone,Cycle,1
Uttar Pradesh,Rural,Primary,33.8,Private,Well,1,Informal,0.31,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Odisha,Rural,Secondary,20.8,No,Well,1,Govt job,0.11,1,Kutcha,Firewood,Smartphone,Cycle,1
Tamil Nadu,Rural,Graduate,44.5,Private,Well,1,Informal,0.44,0,Kutcha,Firewood,Smartphone,Walk,1
Uttar Pradesh,Rural,Secondary,47.6,Private,Well,1,Self-employed,0.41,0,Kutcha,Kerosene,Smartphone,Private Vehicle,0
Tamil Nadu,Rural,No School,5.8,Private,Unprotected,1,Self-employed,0.39,1,Semi-Pucca,Kerosene,Smartphone,Walk,1
Jharkhand,Rural,Secondary,35.7,Private,Well,1,Unemployed,0.4,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Jharkhand,Rural,Secondary,55.9,Private,Well,1,Informal,0.35,0,Kutcha,Kerosene,Basic Phone,Walk,1
Odisha,Rural,Postgraduate,39.4,Private,Unprotected,1,Govt job,0.37,1,Pucca,Biogas,None,Private Vehicle,1
Chhattisgarh,Rural,Primary,69.4,Shared,Unprotected,1,Informal,0.06,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Jharkhand,Urban,Graduate,18.8,No,Private tap,1,Self-employed,0.49,1,Pucca,LPG,Smartphone,Public Transport,1
West Bengal,Rural,Graduate,63.5,Private,Public tap,1,Unemployed,0.34,1,Kutcha,LPG,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Primary,68.3,Private,Private tap,1,Unemployed,0.09,1,Kutcha,LPG,Basic Phone,Walk,0
West Bengal,Rural,Postgraduate,69.1,No,Unprotected,1,Informal,0.3,1,Pucca,Firewood,Smartphone,Public Transport,0
Uttar Pradesh,Rural,Secondary,18.7,Private,Unprotected,1,Informal,0.22,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Bihar,Rural,Secondary,56.3,No,Unprotected,1,Govt job,0.15,1,Pucca,LPG,Basic Phone,Public Transport,0
Tamil Nadu,Urban,Primary,36.6,No,Private tap,1,Informal,0.71,1,Kutcha,LPG,Smartphone,Cycle,0
Odisha,Urban,Primary,21.9,Private,Well,1,Unemployed,0.32,1,Kutcha,Firewood,Basic Phone,Public Transport,1
Kerala,Urban,Secondary,41.7,Private,Public tap,1,Self-employed,0.2,1,Pucca,Firewood,Basic Phone,Walk,0
Kerala,Rural,Primary,31.9,Private,Public tap,1,Informal,0.09,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Rajasthan,Rural,Secondary,68.4,Private,Well,0,Informal,0.29,1,Pucca,LPG,Basic Phone,Cycle,1
Gujarat,Rural,Secondary,60.3,No,Public tap,1,Govt job,0.2,1,Kutcha,Firewood,Basic Phone,Public Transport,1
Maharashtra,Rural,Secondary,27.0,No,Well,0,Unemployed,0.24,1,Kutcha,Biogas,None,Public Transport,0
Chhattisgarh,Urban,Secondary,35.5,Private,Private tap,1,Private job,0.25,1,Semi-Pucca,LPG,Basic Phone,Walk,0
Odisha,Urban,No School,42.4,Private,Unprotected,1,Informal,0.17,1,Pucca,Kerosene,None,Walk,1
Jharkhand,Rural,Secondary,48.6,Shared,Well,1,Informal,0.29,1,Pucca,Firewood,Basic Phone,Public Transport,0
Madhya Pradesh,Rural,Secondary,70.1,Private,Well,1,Private job,0.04,1,Kutcha,LPG,Smartphone,Public Transport,0
Chhattisgarh,Rural,Primary,63.8,Private,Unprotected,1,Govt job,0.17,1,Kutcha,Biogas,Basic Phone,Private Vehicle,1
Chhattisgarh,Rural,No School,51.0,Private,Unprotected,1,Unemployed,0.15,1,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Madhya Pradesh,Rural,Primary,44.8,Private,Public tap,1,Self-employed,0.12,1,Pucca,LPG,None,Cycle,0
Tamil Nadu,Urban,Primary,14.5,Shared,Well,1,Informal,0.27,1,Pucca,LPG,None,Private Vehicle,0
Chhattisgarh,Rural,Postgraduate,75.8,Shared,Unprotected,1,Self-employed,0.44,0,Kutcha,Biogas,Basic Phone,Walk,0
Bihar,Rural,Secondary,41.1,Private,Public tap,0,Govt job,0.31,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Chhattisgarh,Rural,No School,81.1,Private,Private tap,0,Informal,0.21,1,Semi-Pucca,LPG,Smartphone,Walk,0
Gujarat,Rural,Primary,53.9,Shared,Well,0,Unemployed,0.17,1,Semi-Pucca,Firewood,Basic Phone,Private Vehicle,1
Maharashtra,Urban,No School,90.5,Private,Private tap,1,Self-employed,0.56,1,Semi-Pucca,LPG,None,Cycle,1
Rajasthan,Urban,Secondary,62.1,Private,Unprotected,0,Unemployed,0.15,1,Kutcha,LPG,Basic Phone,Private Vehicle,1
West Bengal,Rural,Primary,21.4,Shared,Unprotected,1,Informal,0.11,1,Semi-Pucca,LPG,None,Private Vehicle,0
Kerala,Rural,Secondary,37.7,Private,Well,0,Informal,0.55,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Tamil Nadu,Rural,Secondary,46.6,No,Private tap,1,Self-employed,0.4,1,Kutcha,LPG,None,Public Transport,1
Odisha,Urban,Graduate,32.5,Shared,Unprotected,1,Self-employed,0.53,1,Pucca,Firewood,None,Private Vehicle,0
Jharkhand,Rural,Primary,42.5,Private,Well,1,Unemployed,0.26,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Bihar,Urban,Secondary,22.7,No,Well,1,Private job,0.13,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Tamil Nadu,Urban,Graduate,50.1,Shared,Well,1,Self-employed,0.27,1,Semi-Pucca,Biogas,Basic Phone,Cycle,1
West Bengal,Urban,Secondary,54.7,Private,Unprotected,1,Informal,0.12,1,Kutcha,LPG,None,Public Transport,1
Maharashtra,Rural,Graduate,29.9,Private,Unprotected,1,Private job,0.02,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Rajasthan,Rural,Secondary,88.8,Shared,Well,1,Private job,0.27,1,Pucca,LPG,Smartphone,Walk,0
West Bengal,Rural,Secondary,51.3,Shared,Public tap,1,Unemployed,0.21,1,Pucca,Firewood,Basic Phone,Private Vehicle,0
Odisha,Urban,Secondary,33.7,Shared,Well,0,Self-employed,0.06,1,Semi-Pucca,Firewood,Smartphone,Walk,1
Madhya Pradesh,Urban,Postgraduate,17.4,Private,Well,1,Self-employed,0.06,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Jharkhand,Urban,Secondary,51.2,No,Well,1,Unemployed,0.57,1,Pucca,Kerosene,Basic Phone,Walk,0
Madhya Pradesh,Rural,Postgraduate,44.8,Shared,Public tap,1,Informal,0.1,1,Kutcha,LPG,Smartphone,Walk,0
Uttar Pradesh,Urban,Primary,65.7,Shared,Private tap,0,Self-employed,0.39,1,Semi-Pucca,LPG,None,Public Transport,1
Rajasthan,Rural,Secondary,47.1,Shared,Unprotected,1,Informal,0.38,0,Semi-Pucca,LPG,Smartphone,Public Transport,1
Jharkhand,Urban,Postgraduate,26.1,No,Unprotected,1,Govt job,0.38,1,Semi-Pucca,Kerosene,Smartphone,Walk,0
Odisha,Urban,Primary,83.4,No,Private tap,1,Unemployed,0.44,1,Kutcha,Firewood,Smartphone,Cycle,0
Tamil Nadu,Urban,Postgraduate,58.7,Private,Well,1,Private job,0.06,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Kerala,Urban,No School,44.9,Private,Well,1,Govt job,0.1,1,Kutcha,Firewood,Basic Phone,Private Vehicle,0
Jharkhand,Rural,Postgraduate,53.3,Shared,Unprotected,1,Govt job,0.24,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Gujarat,Rural,Secondary,59.5,Private,Well,1,Informal,0.48,0,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Tamil Nadu,Rural,No School,21.4,Private,Private tap,1,Govt job,0.12,1,Semi-Pucca,Firewood,None,Private Vehicle,1
Tamil Nadu,Urban,Graduate,53.2,No,Unprotected,1,Informal,0.18,1,Pucca,Firewood,Basic Phone,Public Transport,1
Gujarat,Urban,Primary,41.0,Shared,Public tap,1,Self-employed,0.15,1,Semi-Pucca,Firewood,Smartphone,Walk,0
Uttar Pradesh,Rural,No School,60.1,Shared,Well,1,Informal,0.14,1,Pucca,Biogas,Basic Phone,Private Vehicle,0
Bihar,Rural,Primary,35.2,Private,Private tap,1,Govt job,0.38,1,Semi-Pucca,Biogas,None,Walk,1
Maharashtra,Rural,Secondary,37.9,Private,Unprotected,1,Unemployed,0.41,1,Pucca,LPG,Basic Phone,Walk,1
Rajasthan,Rural,Postgraduate,83.3,Private,Unprotected,1,Self-employed,0.46,0,Pucca,LPG,Basic Phone,Cycle,0
Rajasthan,Rural,Primary,74.6,Private,Public tap,1,Govt job,0.11,1,Pucca,Firewood,Smartphone,Walk,0
Uttar Pradesh,Urban,Secondary,0.0,Private,Well,1,Self-employed,0.22,1,Semi-Pucca,LPG,None,Walk,0
Madhya Pradesh,Rural,Primary,73.1,Private,Public tap,1,Unemployed,0.4,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Graduate,48.5,Private,Private tap,0,Informal,0.31,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Odisha,Rural,Primary,35.8,Shared,Unprotected,1,Self-employed,0.13,1,Kutcha,Kerosene,None,Public Transport,0
Bihar,Rural,Primary,29.9,Shared,Unprotected,1,Informal,0.74,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Tamil Nadu,Rural,Primary,31.0,Private,Public tap,1,Unemployed,0.24,1,Semi-Pucca,Firewood,Basic Phone,Private Vehicle,0
Chhattisgarh,Urban,Secondary,36.4,Private,Public tap,1,Unemployed,0.2,1,Pucca,Firewood,Basic Phone,Cycle,1
Chhattisgarh,Rural,Graduate,27.5,Shared,Public tap,1,Govt job,0.09,1,Pucca,Biogas,Smartphone,Private Vehicle,0
Madhya Pradesh,Urban,Secondary,22.9,Private,Well,1,Unemployed,0.16,1,Kutcha,LPG,Basic Phone,Walk,0
Uttar Pradesh,Rural,No School,29.2,Private,Unprotected,0,Private job,0.25,1,Semi-Pucca,LPG,Basic Phone,Cycle,1
Bihar,Rural,Secondary,56.5,Private,Well,1,Informal,0.14,1,Pucca,Firewood,None,Private Vehicle,1
Gujarat,Rural,Graduate,51.0,Shared,Private tap,1,Govt job,0.07,1,Pucca,Kerosene,Basic Phone,Walk,0
West Bengal,Rural,Primary,61.1,Private,Well,0,Unemployed,0.2,1,Pucca,LPG,None,Private Vehicle,1
Kerala,Rural,No School,48.7,No,Public tap,0,Private job,0.17,1,Kutcha,LPG,Basic Phone,Cycle,1
Bihar,Urban,Primary,23.9,No,Private tap,1,Unemployed,0.43,1,Kutcha,Biogas,Basic Phone,Private Vehicle,0
Maharashtra,Rural,Graduate,59.9,Private,Private tap,0,Unemployed,0.21,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Odisha,Urban,Secondary,29.9,Private,Well,1,Unemployed,0.05,1,Pucca,Firewood,Smartphone,Private Vehicle,1
Tamil Nadu,Rural,Secondary,62.9,Shared,Well,1,Unemployed,0.24,1,Pucca,LPG,None,Walk,1
Maharashtra,Rural,Primary,26.7,Private,Public tap,1,Informal,0.19,1,Semi-Pucca,Biogas,Smartphone,Public Transport,1
Tamil Nadu,Urban,Primary,36.3,Shared,Public tap,1,Govt job,0.49,1,Pucca,Kerosene,None,Private Vehicle,1
Gujarat,Urban,Postgraduate,42.8,Private,Private tap,1,Informal,0.48,0,Kutcha,LPG,Smartphone,Private Vehicle,0
Rajasthan,Rural,Primary,63.5,Private,Public tap,0,Govt job,0.29,1,Semi-Pucca,Firewood,Basic Phone,Walk,0
Jharkhand,Rural,Postgraduate,53.5,No,Unprotected,1,Govt job,0.37,1,Semi-Pucca,LPG,Smartphone,Walk,1
Maharashtra,Rural,Secondary,50.4,Shared,Unprotected,1,Private job,0.53,0,Semi-Pucca,LPG,Smartphone,Public Transport,1
Jharkhand,Urban,Primary,87.7,Private,Private tap,1,Unemployed,0.44,1,Semi-Pucca,Firewood,Basic Phone,Walk,1
Rajasthan,Rural,Secondary,13.3,No,Well,1,Unemployed,0.51,1,Kutcha,LPG,Basic Phone,Walk,1
Odisha,Rural,Postgraduate,29.2,No,Well,1,Unemployed,0.29,1,Semi-Pucca,LPG,Smartphone,Public Transport,0
Maharashtra,Urban,Secondary,28.4,Shared,Unprotected,1,Informal,0.25,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Tamil Nadu,Rural,Graduate,14.6,No,Well,1,Informal,0.18,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Jharkhand,Rural,Primary,35.6,Private,Public tap,1,Informal,0.11,1,Pucca,Firewood,Basic Phone,Walk,0
Jharkhand,Rural,Secondary,63.8,No,Unprotected,0,Informal,0.52,1,Semi-Pucca,Biogas,None,Public Transport,1
Kerala,Rural,Graduate,38.2,Private,Private tap,0,Self-employed,0.19,1,Pucca,Firewood,Smartphone,Cycle,0
Jharkhand,Rural,Postgraduate,43.3,Shared,Well,1,Informal,0.11,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Tamil Nadu,Rural,Secondary,15.5,Private,Private tap,0,Informal,0.44,1,Kutcha,Firewood,None,Cycle,1
Odisha,Urban,Secondary,34.1,Private,Private tap,1,Unemployed,0.44,1,Pucca,LPG,None,Cycle,1
West Bengal,Rural,No School,40.8,Shared,Well,1,Self-employed,0.18,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
Madhya Pradesh,Urban,Primary,62.8,Private,Well,1,Self-employed,0.63,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Bihar,Rural,Primary,16.5,No,Unprotected,0,Govt job,0.27,1,Semi-Pucca,Firewood,None,Walk,1
Maharashtra,Rural,No School,40.9,Private,Unprotected,0,Private job,0.36,1,Kutcha,Firewood,Basic Phone,Public Transport,0
Gujarat,Urban,Primary,71.7,Private,Private tap,1,Govt job,0.07,1,Pucca,Kerosene,None,Public Transport,0
Uttar Pradesh,Urban,Primary,41.1,Private,Private tap,1,Informal,0.11,1,Kutcha,Firewood,Basic Phone,Public Transport,1
Chhattisgarh,Rural,Postgraduate,7.7,Private,Unprotected,1,Informal,0.54,1,Kutcha,Firewood,Smartphone,Private Vehicle,1
Bihar,Rural,Secondary,75.6,No,Private tap,1,Private job,0.15,1,Pucca,Biogas,Basic Phone,Walk,0
Kerala,Rural,Secondary,64.7,No,Public tap,1,Govt job,0.11,1,Kutcha,LPG,None,Private Vehicle,1
Jharkhand,Rural,Postgraduate,67.4,No,Well,1,Govt job,0.48,1,Pucca,LPG,None,Cycle,1
Odisha,Rural,Primary,15.1,Private,Well,1,Govt job,0.05,1,Pucca,Firewood,Basic Phone,Public Transport,0
West Bengal,Rural,Secondary,80.2,Private,Public tap,1,Informal,0.2,1,Semi-Pucca,LPG,Basic Phone,Walk,1
Chhattisgarh,Urban,Secondary,34.5,Shared,Unprotected,1,Govt job,0.14,1,Kutcha,LPG,Smartphone,Public Transport,1
Rajasthan,Rural,No School,39.8,Shared,Unprotected,1,Unemployed,0.1,1,Pucca,Kerosene,Smartphone,Public Transport,0
West Bengal,Rural,Graduate,35.9,No,Private tap,1,Informal,0.04,1,Semi-Pucca,LPG,Basic Phone,Private Vehicle,1
Maharashtra,Rural,No School,68.9,Shared,Private tap,1,Informal,0.32,1,Kutcha,LPG,Basic Phone,Public Transport,0
Madhya Pradesh,Urban,Primary,46.4,Shared,Unprotected,0,Self-employed,0.34,1,Pucca,Firewood,Basic Phone,Public Transport,1
Jharkhand,Rural,Primary,59.6,Private,Private tap,0,Informal,0.5,1,Pucca,Firewood,Smartphone,Walk,1
Uttar Pradesh,Rural,Postgraduate,51.5,Private,Public tap,1,Informal,0.27,1,Pucca,LPG,Smartphone,Walk,1
Gujarat,Urban,Secondary,48.1,Private,Well,1,Self-employed,0.3,0,Semi-Pucca,Firewood,Basic Phone,Private Vehicle,1
Chhattisgarh,Rural,Secondary,31.1,Private,Public tap,1,Informal,0.32,1,Kutcha,LPG,Smartphone,Cycle,0
Jharkhand,Rural,Secondary,86.2,Private,Well,1,Informal,0.41,0,Pucca,Kerosene,None,Private Vehicle,0
Gujarat,Urban,Primary,20.7,Private,Well,1,Self-employed,0.25,1,Semi-Pucca,LPG,None,Walk,1
Gujarat,Urban,Secondary,58.2,Shared,Private tap,0,Govt job,0.45,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Chhattisgarh,Rural,Secondary,57.5,Shared,Private tap,1,Informal,0.27,1,Semi-Pucca,LPG,Basic Phone,Public Transport,0
Uttar Pradesh,Rural,Primary,73.1,Shared,Well,1,Self-employed,0.1,1,Semi-Pucca,Biogas,None,Private Vehicle,0
Madhya Pradesh,Urban,Secondary,77.8,Private,Private tap,1,Self-employed,0.43,0,Kutcha,Firewood,None,Public Transport,0
Gujarat,Urban,Primary,47.3,Private,Public tap,1,Unemployed,0.42,1,Semi-Pucca,LPG,None,Walk,1
Rajasthan,Rural,Primary,60.6,Private,Unprotected,1,Informal,0.2,1,Pucca,Kerosene,Basic Phone,Public Transport,0
Gujarat,Rural,Graduate,85.3,Private,Private tap,0,Unemployed,0.15,1,Pucca,LPG,Smartphone,Private Vehicle,0
Tamil Nadu,Urban,Secondary,48.7,No,Private tap,1,Self-employed,0.3,1,Kutcha,Firewood,Smartphone,Walk,0
Gujarat,Urban,Secondary,28.7,Private,Private tap,1,Self-employed,0.38,1,Kutcha,Firewood,Smartphone,Walk,1
Gujarat,Rural,Secondary,42.3,Private,Unprotected,1,Unemployed,0.59,1,Pucca,LPG,Basic Phone,Private Vehicle,1
Odisha,Rural,Secondary,23.9,Private,Public tap,0,Self-employed,0.54,1,Pucca,Firewood,None,Private Vehicle,1
West Bengal,Rural,Secondary,57.4,Private,Well,1,Private job,0.17,1,Kutcha,Firewood,Smartphone,Walk,1
Bihar,Rural,Graduate,71.3,Private,Public tap,1,Informal,0.36,0,Kutcha,Firewood,Smartphone,Public Transport,1
Rajasthan,Rural,Secondary,47.6,Shared,Private tap,1,Private job,0.7,0,Semi-Pucca,LPG,Basic Phone,Walk,1
Rajasthan,Rural,Postgraduate,17.6,Shared,Unprotected,1,Private job,0.11,1,Kutcha,LPG,Basic Phone,Public Transport,1
Kerala,Rural,Postgraduate,70.4,Private,Public tap,0,Govt job,0.31,1,Pucca,Biogas,Basic Phone,Cycle,1
Chhattisgarh,Rural,Secondary,14.5,Private,Private tap,0,Govt job,0.21,1,Semi-Pucca,LPG,Smartphone,Cycle,1
Chhattisgarh,Urban,Graduate,19.1,No,Private tap,1,Informal,0.21,1,Pucca,LPG,Basic Phone,Public Transport,1
Kerala,Rural,Secondary,46.4,Private,Well,1,Informal,0.51,0,Semi-Pucca,Firewood,Basic Phone,Private Vehicle,1
West Bengal,Rural,Secondary,55.0,Private,Unprotected,1,Private job,0.49,0,Semi-Pucca,Firewood,Smartphone,Walk,0
Chhattisgarh,Rural,No School,58.4,No,Well,1,Informal,0.36,1,Pucca,Firewood,Smartphone,Walk,1
Tamil Nadu,Rural,Secondary,48.7,No,Public tap,1,Unemployed,0.19,1,Pucca,Firewood,None,Cycle,0
Odisha,Rural,Postgraduate,85.2,Shared,Well,1,Unemployed,0.3,1,Kutcha,Biogas,Smartphone,Private Vehicle,1
Bihar,Rural,Graduate,51.3,Shared,Public tap,1,Govt job,0.51,0,Kutcha,LPG,None,Private Vehicle,1
Bihar,Rural,Graduate,70.7,No,Private tap,1,Informal,0.35,1,Pucca,Firewood,Smartphone,Private Vehicle,0
Uttar Pradesh,Rural,Primary,65.7,No,Unprotected,1,Unemployed,0.24,1,Semi-Pucca,Biogas,Smartphone,Cycle,0
Uttar Pradesh,Rural,Secondary,24.1,No,Unprotected,1,Govt job,0.25,1,Pucca,LPG,Basic Phone,Cycle,1
Odisha,Rural,Primary,46.6,Private,Private tap,1,Informal,0.03,1,Pucca,Biogas,Basic Phone,Walk,1
Jharkhand,Rural,Primary,92.5,Private,Unprotected,1,Self-employed,0.46,1,Semi-Pucca,Firewood,Smartphone,Private Vehicle,1
Jharkhand,Urban,Secondary,39.9,Private,Well,1,Unemployed,0.33,1,Semi-Pucca,Firewood,Basic Phone,Cycle,0
Rajasthan,Urban,Secondary,36.5,Private,Public tap,1,Unemployed,0.13,1,Kutcha,Kerosene,None,Public Transport,1
Rajasthan,Rural,Secondary,53.4,Private,Public tap,1,Unemployed,0.14,1,Pucca,Firewood,None,Cycle,1
Maharashtra,Rural,Secondary,40.6,Private,Public tap,1,Self-employed,0.25,1,Semi-Pucca,Kerosene,Smartphone,Public Transport,1
Kerala,Rural,Primary,34.1,Private,Well,1,Govt job,0.19,1,Kutcha,Firewood,Basic Phone,Cycle,0
Madhya Pradesh,Urban,No School,40.3,Shared,Public tap,1,Govt job,0.32,1,Semi-Pucca,LPG,Smartphone,Cycle,1
Maharashtra,Rural,Graduate,78.6,Private,Unprotected,1,Informal,0.41,0,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Uttar Pradesh,Urban,No School,47.3,Private,Public tap,1,Private job,0.28,1,Kutcha,LPG,Smartphone,Cycle,1
Madhya Pradesh,Rural,No School,23.4,Shared,Well,1,Unemployed,0.09,1,Kutcha,Biogas,Basic Phone,Private Vehicle,0
Chhattisgarh,Urban,Graduate,19.8,No,Unprotected,1,Unemployed,0.05,1,Semi-Pucca,LPG,None,Public Transport,1
Bihar,Urban,Postgraduate,94.1,Private,Private tap,1,Govt job,0.46,0,Semi-Pucca,LPG,Basic Phone,Walk,0
Rajasthan,Urban,Graduate,45.5,No,Unprotected,0,Informal,0.21,1,Pucca,LPG,Smartphone,Cycle,1
Jharkhand,Rural,No School,58.7,Shared,Well,0,Govt job,0.34,1,Kutcha,Kerosene,Smartphone,Walk,1
Odisha,Rural,Primary,34.6,Private,Unprotected,1,Unemployed,0.48,1,Pucca,Kerosene,Smartphone,Cycle,1
Uttar Pradesh,Urban,Postgraduate,56.4,Private,Public tap,1,Unemployed,0.32,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,0
Bihar,Rural,Graduate,79.2,Private,Well,0,Self-employed,0.38,1,Kutcha,Firewood,Smartphone,Walk,0
West Bengal,Urban,Secondary,37.0,Private,Private tap,1,Unemployed,0.29,1,Semi-Pucca,LPG,Basic Phone,Walk,1
Odisha,Rural,Primary,59.2,Private,Public tap,1,Unemployed,0.05,1,Pucca,Kerosene,None,Cycle,1
Madhya Pradesh,Rural,No School,21.9,Shared,Well,1,Informal,0.53,1,Semi-Pucca,Firewood,Basic Phone,Public Transport,1
Maharashtra,Rural,No School,90.5,Private,Well,1,Informal,0.27,1,Pucca,LPG,Smartphone,Public Transport,0
Maharashtra,Rural,Secondary,55.4,Shared,Private tap,0,Govt job,0.12,1,Kutcha,LPG,Smartphone,Cycle,1
Maharashtra,Rural,No School,41.7,Private,Private tap,1,Govt job,0.14,1,Pucca,Firewood,Basic Phone,Private Vehicle,1
Tamil Nadu,Rural,Postgraduate,44.0,Shared,Well,1,Self-employed,0.11,1,Semi-Pucca,Kerosene,Basic Phone,Public Transport,1
Madhya Pradesh,Rural,Primary,39.8,Shared,Private tap,1,Informal,0.19,1,Pucca,LPG,Basic Phone,Public Transport,1
Uttar Pradesh,Rural,Graduate,40.8,Shared,Private tap,0,Informal,0.14,1,Pucca,LPG,Smartphone,Walk,1
Odisha,Urban,Primary,1.1,Private,Public tap,1,Govt job,0.28,1,Semi-Pucca,LPG,None,Public Transport,0
Tamil Nadu,Rural,Secondary,48.0,Private,Well,0,Unemployed,0.17,1,Semi-Pucca,Firewood,Smartphone,Public Transport,1
Chhattisgarh,Rural,No School,47.2,Shared,Unprotected,1,Informal,0.19,1,Kutcha,Firewood,None,Walk,1
West Bengal,Rural,Graduate,59.8,Shared,Public tap,1,Govt job,0.27,1,Semi-Pucca,Firewood,Smartphone,Cycle,1
Madhya Pradesh,Rural,Secondary,39.5,Private,Well,0,Informal,0.49,1,Semi-Pucca,Kerosene,Smartphone,Cycle,0
West Bengal,Rural,No School,34.6,Private,Well,0,Self-employed,0.22,1,Semi-Pucca,Firewood,None,Walk,0
Odisha,Urban,Graduate,49.8,Shared,Public tap,1,Unemployed,0.05,1,Semi-Pucca,Biogas,Basic Phone,Public Transport,1
Bihar,Urban,Secondary,17.8,No,Private tap,1,Govt job,0.2,1,Pucca,LPG,Smartphone,Cycle,1
Odisha,Rural,Postgraduate,52.9,Shared,Unprotected,0,Unemployed,0.5,1,Kutcha,LPG,Basic Phone,Cycle,0
Jharkhand,Rural,Postgraduate,12.8,Private,Unprotected,1,Private job,0.44,1,Semi-Pucca,Kerosene,Basic Phone,Cycle,0
Tamil Nadu,Rural,Postgraduate,72.4,Shared,Well,1,Unemployed,0.46,1,Semi-Pucca,Firewood,None,Public Transport,1
Gujarat,Rural,No School,63.7,No,Well,1,Private job,0.37,1,Pucca,Firewood,None,Public Transport,0
Bihar,Rural,Primary,31.5,No,Unprotected,0,Informal,0.16,1,Pucca,Firewood,Smartphone,Public Transport,1
Madhya Pradesh,Urban,Postgraduate,63.2,Private,Well,1,Self-employed,0.3,0,Semi-Pucca,LPG,Smartphone,Cycle,1
Chhattisgarh,Rural,Secondary,52.2,Private,Unprotected,1,Govt job,0.2,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
West Bengal,Rural,Primary,29.8,Private,Private tap,0,Unemployed,0.57,1,Pucca,LPG,Basic Phone,Walk,0
Odisha,Urban,Graduate,9.5,Private,Unprotected,1,Informal,0.61,1,Kutcha,LPG,Basic Phone,Public Transport,1
Kerala,Rural,Primary,56.3,Private,Unprotected,1,Private job,0.73,1,Semi-Pucca,LPG,Smartphone,Cycle,0
Uttar Pradesh,Urban,Graduate,34.1,Shared,Unprotected,1,Informal,0.28,1,Kutcha,Biogas,Smartphone,Cycle,0
Madhya Pradesh,Rural,Graduate,71.9,Private,Well,0,Govt job,0.34,1,Pucca,Biogas,None,Public Transport,0
Gujarat,Urban,Graduate,50.3,No,Private tap,1,Unemployed,0.55,1,Semi-Pucca,LPG,Smartphone,Public Transport,1
Uttar Pradesh,Rural,Primary,36.0,Private,Public tap,1,Self-employed,0.06,1,Semi-Pucca,Firewood,Smartphone,Public Transport,0
